NUMBER,CATEGORY,TYPE,NAME,PICTURE,DESCRIPTION1,DESCRIPTION2,DESCRIPTION3
1,BD,ACB,808 Bass1       ,TR-808,TR-808,BD,
2,BD,ACB,808 Bass2       ,TR-808,TR-808,BD,Boutique
3,BD,ACB,808 Bass1 Long  ,TR-808,TR-808,BD,ACB Original
4,BD,ACB,808 Bass2 Long  ,TR-808,TR-808,BD,Boutique
27,BD,ACB,909 Bass1       ,TR-909,TR-909,BD,
28,BD,ACB,909 Bass2       ,TR-909,TR-909,BD,Boutique
29,BD,ACB,909 Attack Bass ,TR-909,TR-909,BD,ACB Original
30,BD,ACB,909 Low Bass    ,TR-909,TR-909,BD,
43,BD,ACB,707 Bass1/2     ,TR-707,TR-707,BD,
44,BD,ACB,707 Bass2/1     ,TR-707,TR-707,BD,
73,BD,ACB,606 Bass        ,TR-606,TR-606,BD,
160,BD,ACB,CR78 Bass      ,CR-78,CR-78,BD,
87,BD,FM,FM Taste        ,FM,FM,,
88,BD,FM,Zap Kick        ,FM,FM,,
89,BD,FM,Simple Kick     ,FM,FM,,
90,BD,FM,HolloKik        ,FM,FM,,
91,BD,FM,WoodKick        ,FM,FM,,
92,BD,FM,Clicker         ,FM,FM,,
93,BD,FM,Knocker         ,FM,FM,,
94,BD,FM,KikBass         ,FM,FM,,
95,BD,FM,Zapdisk         ,FM,FM,,
96,BD,FM,Hardcore        ,FM,FM,,
97,BD,FM,BrokenJack      ,FM,FM,,
182,BD,PCM,626 Kick1       ,TR-626,TR-626,BD,
183,BD,PCM,626 Kick2       ,TR-626,TR-626,BD,
184,BD,PCM,Lo-Bit Kick     ,PCM,PCM,,
185,BD,PCM,Hip Hop Kick1   ,PCM,PCM,,
186,BD,PCM,Hip Hop Kick2   ,PCM,PCM,,
187,BD,PCM,Break Beats Kick,PCM,PCM,,
188,BD,PCM,Pure Phat Kick  ,PCM,PCM,,
189,BD,PCM,DA Neat Kick    ,PCM,PCM,,
190,BD,PCM,DA Punchy Kick  ,PCM,PCM,,
191,BD,PCM,Big Room Kick1  ,PCM,PCM,,
192,BD,PCM,EDM 909 Kick1   ,PCM,PCM,,
193,BD,PCM,EDM 909 Kick2   ,PCM,PCM,,
194,BD,PCM,Sat Kick        ,PCM,PCM,,
195,BD,PCM,Synth Kick1     ,PCM,PCM,,
196,BD,PCM,Synth Kick2     ,PCM,PCM,,
197,BD,PCM,Synth Kick3     ,PCM,PCM,,
198,BD,PCM,Synth Kick4     ,PCM,PCM,,
199,BD,PCM,Big Room Kick2  ,PCM,PCM,,
200,BD,PCM,Big Room Kick3  ,PCM,PCM,,
201,BD,PCM,106 Kick        ,PCM,PCM,,
202,BD,PCM,Big Room Kick4  ,PCM,PCM,,
203,BD,PCM,Tube Kick       ,PCM,PCM,,
204,BD,PCM,Modular Kick    ,PCM,PCM,,
205,BD,PCM,MG888 Kick      ,PCM,PCM,,
206,BD,PCM,MG888 RegiKick  ,PCM,PCM,,
5,SD,ACB,808 Snare1      ,TR-808,TR-808,SD,
6,SD,ACB,808 Snare2      ,TR-808,TR-808,SD,Boutique
31,SD,ACB,909 Snare1      ,TR-909,TR-909,SD,
32,SD,ACB,909 Snare2      ,TR-909,TR-909,SD,Boutique
33,SD,ACB,909 Attack Snare,TR-909,TR-909,SD,ACB Original
45,SD,ACB,707 Snare1/2    ,TR-707,TR-707,SD,
46,SD,ACB,707 Snare2/1    ,TR-707,TR-707,SD,
74,SD,ACB,606 Snare       ,TR-606,TR-606,SD,
